#lambda[A]	Flux[microJy]
3.797e+03	4.868e-06
3.797e+03	6.093e-06
3.797e+03	7.549e-06
3.797e+03	9.258e-06
3.798e+03	1.124e-05
3.798e+03	1.350e-05
3.798e+03	1.606e-05
3.798e+03	1.891e-05
3.798e+03	2.204e-05
3.798e+03	2.542e-05
3.798e+03	2.903e-05
3.798e+03	3.281e-05
3.798e+03	3.671e-05
3.798e+03	4.065e-05
3.798e+03	4.456e-05
3.798e+03	4.835e-05
3.798e+03	5.193e-05
3.798e+03	5.521e-05
3.798e+03	5.809e-05
3.798e+03	6.051e-05
3.798e+03	6.240e-05
3.798e+03	6.368e-05
3.798e+03	6.433e-05
3.798e+03	6.433e-05
3.798e+03	6.368e-05
3.798e+03	6.240e-05
3.798e+03	6.051e-05
3.798e+03	5.809e-05
3.798e+03	5.521e-05
3.798e+03	5.193e-05
3.799e+03	4.835e-05
3.799e+03	4.456e-05
3.799e+03	4.065e-05
3.799e+03	3.671e-05
3.799e+03	3.281e-05
3.799e+03	2.903e-05
3.799e+03	2.542e-05
3.799e+03	2.204e-05
3.799e+03	1.891e-05
3.799e+03	1.606e-05
3.799e+03	1.350e-05
3.799e+03	1.124e-05
3.799e+03	9.258e-06
3.799e+03	7.549e-06
3.799e+03	6.093e-06
3.799e+03	4.868e-06
3.799e+03	3.850e-06
3.799e+03	3.014e-06
3.799e+03	2.335e-06
3.799e+03	1.791e-06
3.799e+03	1.360e-06
3.799e+03	1.022e-06
3.799e+03	7.602e-07
3.799e+03	5.597e-07
3.799e+03	4.080e-07
3.799e+03	2.943e-07
3.800e+03	2.102e-07
3.800e+03	1.486e-07
3.800e+03	1.040e-07
3.800e+03	7.200e-08
3.800e+03	4.936e-08
3.800e+03	3.350e-08
3.800e+03	2.250e-08
3.800e+03	1.496e-08
3.800e+03	9.846e-09
3.800e+03	6.414e-09
3.800e+03	4.136e-09
3.800e+03	2.640e-09
3.800e+03	1.668e-09
3.800e+03	1.043e-09
3.800e+03	6.459e-10
3.800e+03	3.958e-10
3.800e+03	2.401e-10
3.834e+03	3.313e-10
3.834e+03	5.461e-10
3.834e+03	8.913e-10
3.834e+03	1.440e-09
3.834e+03	2.302e-09
3.834e+03	3.643e-09
3.834e+03	5.708e-09
3.834e+03	8.851e-09
3.834e+03	1.359e-08
3.834e+03	2.064e-08
3.834e+03	3.105e-08
3.834e+03	4.622e-08
3.834e+03	6.811e-08
3.834e+03	9.935e-08
3.834e+03	1.435e-07
3.834e+03	2.050e-07
3.834e+03	2.900e-07
3.834e+03	4.061e-07
3.835e+03	5.630e-07
3.835e+03	7.724e-07
3.835e+03	1.049e-06
3.835e+03	1.410e-06
3.835e+03	1.876e-06
3.835e+03	2.472e-06
3.835e+03	3.223e-06
3.835e+03	4.159e-06
3.835e+03	5.313e-06
3.835e+03	6.718e-06
3.835e+03	8.409e-06
3.835e+03	1.042e-05
3.835e+03	1.278e-05
3.835e+03	1.551e-05
3.835e+03	1.864e-05
3.835e+03	2.217e-05
3.835e+03	2.610e-05
3.835e+03	3.041e-05
3.835e+03	3.508e-05
3.835e+03	4.006e-05
3.835e+03	4.528e-05
3.835e+03	5.065e-05
3.835e+03	5.609e-05
3.835e+03	6.149e-05
3.835e+03	6.672e-05
3.835e+03	7.166e-05
3.836e+03	7.618e-05
3.836e+03	8.017e-05
3.836e+03	8.351e-05
3.836e+03	8.610e-05
3.836e+03	8.788e-05
3.836e+03	8.878e-05
3.836e+03	8.878e-05
3.836e+03	8.788e-05
3.836e+03	8.610e-05
3.836e+03	8.351e-05
3.836e+03	8.017e-05
3.836e+03	7.618e-05
3.836e+03	7.166e-05
3.836e+03	6.672e-05
3.836e+03	6.149e-05
3.836e+03	5.609e-05
3.836e+03	5.065e-05
3.836e+03	4.528e-05
3.836e+03	4.006e-05
3.836e+03	3.508e-05
3.836e+03	3.041e-05
3.836e+03	2.610e-05
3.836e+03	2.217e-05
3.836e+03	1.864e-05
3.836e+03	1.551e-05
3.836e+03	1.278e-05
3.837e+03	1.042e-05
3.837e+03	8.409e-06
3.837e+03	6.718e-06
3.837e+03	5.313e-06
3.837e+03	4.159e-06
3.837e+03	3.223e-06
3.837e+03	2.472e-06
3.837e+03	1.876e-06
3.837e+03	1.410e-06
3.837e+03	1.049e-06
3.837e+03	7.724e-07
3.837e+03	5.630e-07
3.837e+03	4.061e-07
3.837e+03	2.900e-07
3.837e+03	2.050e-07
3.837e+03	1.435e-07
3.837e+03	9.935e-08
3.837e+03	6.811e-08
3.837e+03	4.622e-08
3.837e+03	3.105e-08
3.837e+03	2.064e-08
3.837e+03	1.359e-08
