#lambda[A]	Flux[microJy]
6.566e+03	3.480e-07
6.566e+03	2.244e-07
6.566e+03	1.432e-07
6.566e+03	9.050e-08
6.566e+03	5.660e-08
6.567e+03	3.504e-08
6.567e+03	2.147e-08
6.567e+03	1.302e-08
8.389e+03	9.991e-12
8.389e+03	1.647e-11
8.389e+03	2.688e-11
8.389e+03	4.342e-11
8.389e+03	6.942e-11
8.389e+03	1.099e-10
8.389e+03	1.721e-10
8.389e+03	2.669e-10
8.390e+03	4.098e-10
8.390e+03	6.226e-10
8.390e+03	9.364e-10
8.390e+03	1.394e-09
8.390e+03	2.054e-09
8.390e+03	2.996e-09
8.390e+03	4.326e-09
8.390e+03	6.183e-09
8.390e+03	8.747e-09
8.390e+03	1.225e-08
8.390e+03	1.698e-08
8.390e+03	2.329e-08
8.391e+03	3.164e-08
8.391e+03	4.253e-08
8.391e+03	5.659e-08
8.391e+03	7.454e-08
8.391e+03	9.719e-08
8.391e+03	1.254e-07
8.391e+03	1.602e-07
8.391e+03	2.026e-07
8.391e+03	2.536e-07
8.391e+03	3.142e-07
8.391e+03	3.853e-07
8.391e+03	4.677e-07
8.392e+03	5.620e-07
8.392e+03	6.685e-07
8.392e+03	7.870e-07
8.392e+03	9.172e-07
8.392e+03	1.058e-06
8.392e+03	1.208e-06
8.392e+03	1.365e-06
8.392e+03	1.528e-06
8.392e+03	1.692e-06
8.392e+03	1.854e-06
8.392e+03	2.012e-06
8.392e+03	2.161e-06
8.393e+03	2.298e-06
8.393e+03	2.418e-06
8.393e+03	2.519e-06
8.393e+03	2.597e-06
8.393e+03	2.650e-06
8.393e+03	2.677e-06
8.393e+03	2.677e-06
8.393e+03	2.650e-06
8.393e+03	2.597e-06
8.393e+03	2.519e-06
8.393e+03	2.418e-06
8.394e+03	2.298e-06
8.394e+03	2.161e-06
8.394e+03	2.012e-06
8.394e+03	1.854e-06
8.394e+03	1.692e-06
8.394e+03	1.528e-06
8.394e+03	1.365e-06
8.394e+03	1.208e-06
8.394e+03	1.058e-06
8.394e+03	9.172e-07
8.394e+03	7.870e-07
8.394e+03	6.685e-07
8.395e+03	5.620e-07
8.395e+03	4.677e-07
8.395e+03	3.853e-07
8.395e+03	3.142e-07
8.395e+03	2.536e-07
8.395e+03	2.026e-07
8.395e+03	1.602e-07
8.395e+03	1.254e-07
8.395e+03	9.719e-08
8.395e+03	7.454e-08
8.395e+03	5.659e-08
8.395e+03	4.253e-08
8.396e+03	3.164e-08
8.396e+03	2.329e-08
8.396e+03	1.698e-08
8.396e+03	1.225e-08
8.396e+03	8.747e-09
8.396e+03	6.183e-09
8.396e+03	4.326e-09
8.396e+03	2.996e-09
8.396e+03	2.054e-09
8.396e+03	1.394e-09
8.396e+03	9.364e-10
8.396e+03	6.226e-10
8.397e+03	4.098e-10
8.397e+03	2.669e-10
8.397e+03	1.721e-10
8.397e+03	1.099e-10
8.397e+03	6.942e-11
8.397e+03	4.342e-11
8.397e+03	2.688e-11
8.397e+03	1.647e-11
8.397e+03	9.991e-12
8.542e+03	2.404e-11
8.542e+03	3.963e-11
8.542e+03	6.468e-11
8.542e+03	1.045e-10
8.542e+03	1.671e-10
8.542e+03	2.644e-10
8.542e+03	4.142e-10
8.542e+03	6.423e-10
8.542e+03	9.860e-10
8.543e+03	1.498e-09
8.543e+03	2.253e-09
8.543e+03	3.354e-09
8.543e+03	4.943e-09
8.543e+03	7.210e-09
8.543e+03	1.041e-08
8.543e+03	1.488e-08
8.543e+03	2.105e-08
8.543e+03	2.947e-08
8.543e+03	4.085e-08
8.543e+03	5.605e-08
8.543e+03	7.613e-08
8.544e+03	1.023e-07
8.544e+03	1.362e-07
8.544e+03	1.794e-07
8.544e+03	2.339e-07
8.544e+03	3.018e-07
8.544e+03	3.855e-07
8.544e+03	4.875e-07
8.544e+03	6.102e-07
8.544e+03	7.560e-07
8.544e+03	9.272e-07
8.544e+03	1.126e-06
8.545e+03	1.352e-06
8.545e+03	1.609e-06
8.545e+03	1.894e-06
8.545e+03	2.207e-06
8.545e+03	2.546e-06
8.545e+03	2.907e-06
8.545e+03	3.286e-06
8.545e+03	3.676e-06
8.545e+03	4.071e-06
8.545e+03	4.462e-06
8.545e+03	4.842e-06
8.545e+03	5.200e-06
8.546e+03	5.528e-06
8.546e+03	5.818e-06
8.546e+03	6.060e-06
8.546e+03	6.249e-06
8.546e+03	6.377e-06
8.546e+03	6.443e-06
8.546e+03	6.443e-06
8.546e+03	6.377e-06
8.546e+03	6.249e-06
8.546e+03	6.060e-06
8.546e+03	5.818e-06
8.547e+03	5.528e-06
8.547e+03	5.200e-06
8.547e+03	4.842e-06
8.547e+03	4.462e-06
8.547e+03	4.071e-06
8.547e+03	3.676e-06
8.547e+03	3.286e-06
8.547e+03	2.907e-06
8.547e+03	2.546e-06
8.547e+03	2.207e-06
8.547e+03	1.894e-06
8.547e+03	1.609e-06
8.548e+03	1.352e-06
8.548e+03	1.126e-06
8.548e+03	9.272e-07
8.548e+03	7.560e-07
8.548e+03	6.102e-07
8.548e+03	4.875e-07
8.548e+03	3.855e-07
8.548e+03	3.018e-07
8.548e+03	2.339e-07
8.548e+03	1.794e-07
8.548e+03	1.362e-07
8.548e+03	1.023e-07
8.549e+03	7.613e-08
8.549e+03	5.605e-08
8.549e+03	4.085e-08
8.549e+03	2.947e-08
8.549e+03	2.105e-08
8.549e+03	1.488e-08
8.549e+03	1.041e-08
8.549e+03	7.210e-09
8.549e+03	4.943e-09
8.549e+03	3.354e-09
8.549e+03	2.253e-09
8.550e+03	1.498e-09
8.550e+03	9.860e-10
8.550e+03	6.423e-10
8.550e+03	4.142e-10
8.550e+03	2.644e-10
8.550e+03	1.671e-10
8.550e+03	1.045e-10
8.550e+03	6.468e-11
8.550e+03	3.963e-11
8.550e+03	2.404e-11
9.011e+03	8.402e-11
9.011e+03	1.385e-10
9.011e+03	2.261e-10
9.011e+03	3.651e-10
9.011e+03	5.838e-10
9.012e+03	9.241e-10
9.012e+03	1.448e-09
9.012e+03	2.245e-09
9.012e+03	3.446e-09
9.012e+03	5.236e-09
9.012e+03	7.875e-09
9.012e+03	1.172e-08
9.012e+03	1.728e-08
9.012e+03	2.520e-08
9.012e+03	3.638e-08
9.012e+03	5.200e-08
9.013e+03	7.356e-08
9.013e+03	1.030e-07
9.013e+03	1.428e-07
9.013e+03	1.959e-07
9.013e+03	2.661e-07
9.013e+03	3.577e-07
9.013e+03	4.759e-07
9.013e+03	6.269e-07
9.013e+03	8.173e-07
9.013e+03	1.055e-06
9.013e+03	1.347e-06
9.014e+03	1.704e-06
9.014e+03	2.133e-06
9.014e+03	2.642e-06
9.014e+03	3.240e-06
9.014e+03	3.934e-06
9.014e+03	4.727e-06
9.014e+03	5.622e-06
9.014e+03	6.619e-06
9.014e+03	7.713e-06
9.014e+03	8.898e-06
9.014e+03	1.016e-05
9.015e+03	1.148e-05
9.015e+03	1.285e-05
9.015e+03	1.423e-05
9.015e+03	1.560e-05
9.015e+03	1.692e-05
9.015e+03	1.817e-05
9.015e+03	1.932e-05
9.015e+03	2.033e-05
9.015e+03	2.118e-05
9.015e+03	2.184e-05
9.015e+03	2.229e-05
9.016e+03	2.252e-05
9.016e+03	2.252e-05
9.016e+03	2.229e-05
9.016e+03	2.184e-05
9.016e+03	2.118e-05
9.016e+03	2.033e-05
9.016e+03	1.932e-05
9.016e+03	1.817e-05
9.016e+03	1.692e-05
9.016e+03	1.560e-05
9.016e+03	1.423e-05
9.017e+03	1.285e-05
9.017e+03	1.148e-05
9.017e+03	1.016e-05
9.017e+03	8.898e-06
9.017e+03	7.713e-06
9.017e+03	6.619e-06
9.017e+03	5.622e-06
9.017e+03	4.727e-06
9.017e+03	3.934e-06
9.017e+03	3.240e-06
9.017e+03	2.642e-06
9.018e+03	2.133e-06
9.018e+03	1.704e-06
9.018e+03	1.347e-06
9.018e+03	1.055e-06
9.018e+03	8.173e-07
9.018e+03	6.269e-07
9.018e+03	4.759e-07
9.018e+03	3.577e-07
9.018e+03	2.661e-07
9.018e+03	1.959e-07
9.018e+03	1.428e-07
9.019e+03	1.030e-07
9.019e+03	7.356e-08
9.019e+03	5.200e-08
9.019e+03	3.638e-08
9.019e+03	2.520e-08
9.019e+03	1.728e-08
9.019e+03	1.172e-08
9.019e+03	7.875e-09
9.019e+03	5.236e-09
9.019e+03	3.446e-09
9.019e+03	2.245e-09
9.020e+03	1.448e-09
9.020e+03	9.241e-10
9.020e+03	5.838e-10
9.020e+03	3.651e-10
9.020e+03	2.261e-10
9.020e+03	1.385e-10
9.020e+03	8.402e-11
9.542e+03	1.668e-10
9.542e+03	2.749e-10
9.542e+03	4.487e-10
9.542e+03	7.248e-10
9.542e+03	1.159e-09
9.542e+03	1.834e-09
9.543e+03	2.873e-09
9.543e+03	4.456e-09
9.543e+03	6.840e-09
9.543e+03	1.039e-08
9.543e+03	1.563e-08
9.543e+03	2.327e-08
9.543e+03	3.429e-08
9.543e+03	5.002e-08
9.543e+03	7.222e-08
9.543e+03	1.032e-07
9.543e+03	1.460e-07
9.544e+03	2.045e-07
9.544e+03	2.834e-07
9.544e+03	3.888e-07
9.544e+03	5.281e-07
9.544e+03	7.099e-07
9.544e+03	9.447e-07
9.544e+03	1.244e-06
9.544e+03	1.622e-06
9.544e+03	2.094e-06
9.544e+03	2.675e-06
9.545e+03	3.382e-06
9.545e+03	4.233e-06
9.545e+03	5.245e-06
9.545e+03	6.432e-06
9.545e+03	7.808e-06
9.545e+03	9.382e-06
9.545e+03	1.116e-05
9.545e+03	1.314e-05
9.545e+03	1.531e-05
9.545e+03	1.766e-05
9.545e+03	2.017e-05
9.546e+03	2.279e-05
9.546e+03	2.550e-05
9.546e+03	2.824e-05
9.546e+03	3.095e-05
9.546e+03	3.359e-05
9.546e+03	3.607e-05
9.546e+03	3.835e-05
9.546e+03	4.036e-05
9.546e+03	4.204e-05
9.546e+03	4.335e-05
9.547e+03	4.424e-05
9.547e+03	4.469e-05
9.547e+03	4.469e-05
9.547e+03	4.424e-05
9.547e+03	4.335e-05
9.547e+03	4.204e-05
9.547e+03	4.036e-05
9.547e+03	3.835e-05
9.547e+03	3.607e-05
9.547e+03	3.359e-05
9.548e+03	3.095e-05
9.548e+03	2.824e-05
9.548e+03	2.550e-05
9.548e+03	2.279e-05
9.548e+03	2.017e-05
9.548e+03	1.766e-05
9.548e+03	1.531e-05
9.548e+03	1.314e-05
9.548e+03	1.116e-05
9.548e+03	9.382e-06
9.548e+03	7.808e-06
9.549e+03	6.432e-06
9.549e+03	5.245e-06
9.549e+03	4.233e-06
9.549e+03	3.382e-06
9.549e+03	2.675e-06
9.549e+03	2.094e-06
9.549e+03	1.622e-06
9.549e+03	1.244e-06
9.549e+03	9.447e-07
9.549e+03	7.099e-07
9.550e+03	5.281e-07
9.550e+03	3.888e-07
9.550e+03	2.834e-07
9.550e+03	2.045e-07
9.550e+03	1.460e-07
9.550e+03	1.032e-07
9.550e+03	7.222e-08
9.550e+03	5.002e-08
9.550e+03	3.429e-08
9.550e+03	2.327e-08
9.551e+03	1.563e-08
9.551e+03	1.039e-08
9.551e+03	6.840e-09
9.551e+03	4.456e-09
9.551e+03	2.873e-09
9.551e+03	1.834e-09
9.551e+03	1.159e-09
9.551e+03	7.248e-10
9.551e+03	4.487e-10
9.551e+03	2.749e-10
9.551e+03	1.668e-10
1.093e+04	4.113e-10
1.093e+04	6.780e-10
1.093e+04	1.106e-09
1.093e+04	1.787e-09
1.093e+04	2.858e-09
1.093e+04	4.523e-09
1.093e+04	7.086e-09
1.093e+04	1.099e-08
1.093e+04	1.687e-08
1.093e+04	2.563e-08
1.093e+04	3.854e-08
1.093e+04	5.738e-08
1.093e+04	8.456e-08
1.093e+04	1.233e-07
1.094e+04	1.781e-07
1.094e+04	2.545e-07
1.094e+04	3.601e-07
1.094e+04	5.042e-07
1.094e+04	6.989e-07
1.094e+04	9.589e-07
1.094e+04	1.302e-06
1.094e+04	1.751e-06
1.094e+04	2.330e-06
1.094e+04	3.068e-06
1.094e+04	4.001e-06
1.094e+04	5.163e-06
1.094e+04	6.595e-06
1.094e+04	8.340e-06
1.094e+04	1.044e-05
1.094e+04	1.293e-05
1.094e+04	1.586e-05
1.094e+04	1.925e-05
1.094e+04	2.314e-05
1.094e+04	2.752e-05
1.094e+04	3.240e-05
1.094e+04	3.775e-05
1.094e+04	4.355e-05
1.094e+04	4.973e-05
1.094e+04	5.621e-05
1.094e+04	6.288e-05
1.094e+04	6.964e-05
1.094e+04	7.633e-05
1.094e+04	8.283e-05
1.094e+04	8.896e-05
1.094e+04	9.457e-05
1.094e+04	9.952e-05
1.094e+04	1.037e-04
1.094e+04	1.069e-04
1.094e+04	1.091e-04
1.094e+04	1.102e-04
1.094e+04	1.102e-04
1.094e+04	1.091e-04
1.094e+04	1.069e-04
1.094e+04	1.037e-04
1.094e+04	9.952e-05
1.094e+04	9.457e-05
1.094e+04	8.896e-05
1.094e+04	8.283e-05
1.094e+04	7.633e-05
1.094e+04	6.964e-05
1.094e+04	6.288e-05
1.094e+04	5.621e-05
1.094e+04	4.973e-05
1.094e+04	4.355e-05
1.094e+04	3.775e-05
1.094e+04	3.240e-05
1.094e+04	2.752e-05
1.094e+04	2.314e-05
1.094e+04	1.925e-05
1.094e+04	1.586e-05
1.094e+04	1.293e-05
1.094e+04	1.044e-05
1.094e+04	8.340e-06
1.094e+04	6.595e-06
1.094e+04	5.163e-06
1.094e+04	4.001e-06
1.094e+04	3.068e-06
1.094e+04	2.330e-06
1.094e+04	1.751e-06
1.094e+04	1.302e-06
1.094e+04	9.589e-07
1.094e+04	6.989e-07
1.094e+04	5.042e-07
1.094e+04	3.601e-07
1.094e+04	2.545e-07
1.094e+04	1.781e-07
1.094e+04	1.233e-07
1.094e+04	8.456e-08
1.094e+04	5.738e-08
1.094e+04	3.854e-08
1.094e+04	2.563e-08
1.094e+04	1.687e-08
1.094e+04	1.099e-08
1.094e+04	7.086e-09
1.094e+04	4.523e-09
1.094e+04	2.858e-09
1.094e+04	1.787e-09
1.094e+04	1.106e-09
1.094e+04	6.780e-10
1.094e+04	4.113e-10
1.281e+04	7.486e-10
1.281e+04	1.234e-09
1.281e+04	2.014e-09
1.281e+04	3.253e-09
1.281e+04	5.202e-09
1.281e+04	8.233e-09
1.281e+04	1.290e-08
1.281e+04	2.000e-08
1.281e+04	3.070e-08
1.281e+04	4.665e-08
1.281e+04	7.016e-08
1.281e+04	1.045e-07
1.281e+04	1.539e-07
1.281e+04	2.245e-07
1.281e+04	3.242e-07
1.281e+04	4.633e-07
1.281e+04	6.554e-07
1.281e+04	9.178e-07
1.281e+04	1.272e-06
1.282e+04	1.745e-06
1.282e+04	2.371e-06
1.282e+04	3.187e-06
1.282e+04	4.240e-06
1.282e+04	5.585e-06
1.282e+04	7.282e-06
1.282e+04	9.398e-06
1.282e+04	1.201e-05
1.282e+04	1.518e-05
1.282e+04	1.900e-05
1.282e+04	2.354e-05
1.282e+04	2.887e-05
1.282e+04	3.505e-05
1.282e+04	4.211e-05
1.282e+04	5.009e-05
1.282e+04	5.897e-05
1.282e+04	6.872e-05
1.282e+04	7.928e-05
1.282e+04	9.052e-05
1.282e+04	1.023e-04
1.282e+04	1.145e-04
1.282e+04	1.268e-04
1.282e+04	1.390e-04
1.282e+04	1.508e-04
1.282e+04	1.619e-04
1.282e+04	1.722e-04
1.282e+04	1.812e-04
1.282e+04	1.887e-04
1.282e+04	1.946e-04
1.282e+04	1.986e-04
1.282e+04	2.006e-04
1.282e+04	2.006e-04
1.282e+04	1.986e-04
1.282e+04	1.946e-04
1.282e+04	1.887e-04
1.282e+04	1.812e-04
1.282e+04	1.722e-04
1.282e+04	1.619e-04
1.282e+04	1.508e-04
1.282e+04	1.390e-04
1.282e+04	1.268e-04
1.282e+04	1.145e-04
1.282e+04	1.023e-04
1.282e+04	9.052e-05
1.282e+04	7.928e-05
1.282e+04	6.872e-05
1.282e+04	5.897e-05
1.282e+04	5.009e-05
1.282e+04	4.211e-05
1.282e+04	3.505e-05
1.282e+04	2.887e-05
1.282e+04	2.354e-05
1.282e+04	1.900e-05
1.282e+04	1.518e-05
1.282e+04	1.201e-05
1.282e+04	9.398e-06
1.282e+04	7.282e-06
1.282e+04	5.585e-06
1.282e+04	4.240e-06
1.282e+04	3.187e-06
1.282e+04	2.371e-06
1.282e+04	1.745e-06
1.282e+04	1.272e-06
1.282e+04	9.178e-07
1.282e+04	6.554e-07
1.282e+04	4.633e-07
1.282e+04	3.242e-07
1.282e+04	2.245e-07
1.282e+04	1.539e-07
1.282e+04	1.045e-07
1.282e+04	7.016e-08
1.282e+04	4.665e-08
1.282e+04	3.070e-08
1.282e+04	2.000e-08
1.282e+04	1.290e-08
1.282e+04	8.233e-09
1.282e+04	5.202e-09
1.283e+04	3.253e-09
1.283e+04	2.014e-09
1.283e+04	1.234e-09
1.283e+04	7.486e-10
1.874e+04	1.597e-09
1.874e+04	2.633e-09
1.874e+04	4.298e-09
1.874e+04	6.942e-09
1.874e+04	1.110e-08
1.874e+04	1.757e-08
1.874e+04	2.752e-08
1.874e+04	4.268e-08
1.874e+04	6.551e-08
1.874e+04	9.954e-08
1.874e+04	1.497e-07
1.875e+04	2.229e-07
1.875e+04	3.284e-07
1.875e+04	4.791e-07
1.875e+04	6.917e-07
1.875e+04	9.886e-07
1.875e+04	1.399e-06
1.875e+04	1.958e-06
1.875e+04	2.715e-06
1.875e+04	3.724e-06
1.875e+04	5.058e-06
1.875e+04	6.800e-06
1.875e+04	9.048e-06
1.875e+04	1.192e-05
1.875e+04	1.554e-05
1.875e+04	2.005e-05
1.875e+04	2.562e-05
1.875e+04	3.239e-05
1.875e+04	4.055e-05
1.875e+04	5.023e-05
1.875e+04	6.161e-05
1.875e+04	7.478e-05
1.875e+04	8.986e-05
1.875e+04	1.069e-04
1.875e+04	1.258e-04
1.875e+04	1.466e-04
1.875e+04	1.692e-04
1.875e+04	1.932e-04
1.875e+04	2.183e-04
1.875e+04	2.442e-04
1.875e+04	2.705e-04
1.875e+04	2.965e-04
1.875e+04	3.217e-04
1.875e+04	3.455e-04
1.875e+04	3.673e-04
1.875e+04	3.866e-04
1.875e+04	4.027e-04
1.875e+04	4.152e-04
1.875e+04	4.237e-04
1.875e+04	4.281e-04
1.875e+04	4.281e-04
1.875e+04	4.237e-04
1.875e+04	4.152e-04
1.875e+04	4.027e-04
1.875e+04	3.866e-04
1.875e+04	3.673e-04
1.875e+04	3.455e-04
1.875e+04	3.217e-04
1.875e+04	2.965e-04
1.875e+04	2.705e-04
1.875e+04	2.442e-04
1.875e+04	2.183e-04
1.875e+04	1.932e-04
1.875e+04	1.692e-04
1.876e+04	1.466e-04
1.876e+04	1.258e-04
1.876e+04	1.069e-04
1.876e+04	8.986e-05
1.876e+04	7.478e-05
1.876e+04	6.161e-05
1.876e+04	5.023e-05
1.876e+04	4.055e-05
1.876e+04	3.239e-05
1.876e+04	2.562e-05
1.876e+04	2.005e-05
1.876e+04	1.554e-05
1.876e+04	1.192e-05
1.876e+04	9.048e-06
1.876e+04	6.800e-06
1.876e+04	5.058e-06
1.876e+04	3.724e-06
1.876e+04	2.715e-06
1.876e+04	1.958e-06
1.876e+04	1.399e-06
1.876e+04	9.886e-07
1.876e+04	6.917e-07
1.876e+04	4.791e-07
1.876e+04	3.284e-07
1.876e+04	2.229e-07
1.876e+04	1.497e-07
1.876e+04	9.954e-08
1.876e+04	6.551e-08
1.876e+04	4.268e-08
1.876e+04	2.752e-08
1.876e+04	1.757e-08
1.876e+04	1.110e-08
1.876e+04	6.942e-09
1.876e+04	4.298e-09
1.876e+04	2.633e-09
1.876e+04	1.597e-09
